"Country1 input data from R datafile"

"N complete non-extreme",423
"WN complete non-extreme",423
"N total",1000
"N Any Missing",7
"WN Any missing",5.94894968339006

"Item","Severity","SE severity","Infit","SE infit","Outfit","N Yes on complete non-extreme sample","Perc Yes on complete non-extreme sample","WN Yes on complete non-extreme sample","WPerc Yes on complete non-extreme sample","N Yes on total sample","Perc Yes on total sample","WN Yes on total sample","WPerc Yes on total sample"
"WORRIED","-0.492402102783546","0.130681241315635","1.10996245966076","0.0705260838994818","1.16836981060507","302","71.3947990543735","302.08042577139","71.4138122390993","704","70.4","713.546833582727","71.3546833581916"
"HEALTHY","-0.3646587969409","0.128512790349537","1.16425690361427","0.0685013092262499","1.35622344775492","292","69.0307328605201","293.398326369661","69.361306470369","694","69.4","705.581396345664","70.5581396344862"
"FEWFOOD","-0.997214610392647","0.141170897798021","0.837347887397192","0.0794705076622194","0.620822676391889","335","79.1962174940898","333.503564303792","78.8424501900217","737","73.7","744.769841677238","74.4769841676392"
"SKIPPED","0.222744058115151","0.120822038146296","0.966170641234424","0.0605499559733276","0.883354990063169","248","58.628841607565","249.737113215926","59.0395066704317","646","64.6","660.360416308772","66.0360416308022"
"ATELESS","-0.701799698505073","0.134645415312766","0.942892885205947","0.0740729752966847","0.97202982398255","316","74.7044917257683","315.669738524748","74.6264157268907","717","71.7","727.010225295267","72.7010225294441"
"RUNOUT","0.124043088266902","0.12185986521848","0.900189692152474","0.0617431359820455","0.808373432417422","254","60.0472813238771","257.491024413965","60.8725826037742","655","65.5","669.64326531621","66.9643265315449"
"HUNGRY","0.536512436229793","0.118204743856591","1.03005410307365","0.057083771136313","1.05030019312848","229","54.1371158392435","224.040503779085","52.9646581038026","629","62.9","636.244910827878","63.6244910827155"
"WHLDAY","1.67271255356688","0.119632966133756","1.04090605994304","0.0497944472905255","1.1386965413106","119","28.1323877068558","120.492546885073","28.4852356702299","517","51.7","532.042936152998","53.2042936152394"

"Raw-score","Severity","Error","N cases","W cases"
0,-2.93364909081797,1.47675002854188,173,167.076104203143
1,-2.14729853142535,1.09191570394522,40,37.7980617396648
2,-1.24833721401766,0.848966977814121,24,27.071670915049
3,-0.603598329122765,0.770359310782573,41,40.560890467267
4,-0.0287570768125335,0.753902486692245,46,42.5654795727511
5,0.555966135616279,0.783254539250554,62,56.0096307695526
6,1.23189326144402,0.873931851952072,80,80.7165995362626
7,2.18697697573515,1.12332374711923,130,128.60802555465
8,3.01139312046448,1.47675002854188,397,413.644587559405

"Reliab.",0.685326916842251
"Reliab. flat",0.696992807743731


Distribution of valid responses 
Num valid,Num cases,Pct cases,Wt cases,Wt pct,Pct if any valid,Wt pct if any valid
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,1,0.1,0.333466018700929,0.0333466018700929,0.1,0.0333466018700929
5,1,0.1,0.37001161097605,0.037001161097605,0.1,0.037001161097605
6,0,0,0,0,0,0
7,5,0.5,5.24547205371308,0.524547205371308,0.5,0.524547205371308
8,993,99.3,994.051050317746,99.4051050317746,99.3,99.4051050317746

Missing by item if any valid
Item,Num missing,Pct missing, Wt missing, Wt pct missing
"WORRIED",1,0.1,0.851658234897282,0.0851658234897282
"HEALTHY",0,0,0,0
"FEWFOOD",0,0,0,0
"SKIPPED",2,0.2,0.993687881239301,0.0993687881239301
"ATELESS",2,0.2,0.666932037401858,0.0666932037401858
"RUNOUT",1,0.1,0.37001161097605,0.037001161097605
"HUNGRY",2,0.2,0.703477629676979,0.0703477629676979
"WHLDAY",4,0.4,4.10360356725347,0.410360356725348

Residual correlation
"","HEALTHY","FEWFOOD","SKIPPED","ATELESS","RUNOUT","HUNGRY","WHLDAY"
"WORRIED","-0.0180219952745222","0.140962266545279","-0.133667473645168","0.0425470406393624","-0.0833659023648421","-0.157996282777385","-0.0844927741174426"
"HEALTHY","","0.116994513917257","-0.120443477518664","-0.0775534289950557","-0.111939592424676","-0.1460219417099","-0.151283800109252"
"FEWFOOD","","","0.0792013628492618","0.233805937953876","0.0477651997310754","-0.0186490126152715","-0.017697524344885"
"SKIPPED","","","","0.0642052622598476","0.131987477762056","-0.0368105601829577","0.128188991362547"
"ATELESS","","","","","-0.0451540111762975","0.0376459196173744","-0.0912234159385035"
"RUNOUT","","","","","","0.1931773246196","0.129738278928292"
"HUNGRY","","","","","","","-0.0100827524928173"

############# Detailed output#############
Observed response proportion
"Raw score","WORRIED","HEALTHY","FEWFOOD","SKIPPED","ATELESS","RUNOUT","HUNGRY","WHLDAY"
1,0.21031185759281,0.278453148915748,0.210612336974632,0.0174670824944852,0.0884429570059812,0.0391566756543777,0.09310686744571,0.0624490739162557
2,0.548398309031064,0.133841160407436,0.268189139157091,0.0869755377675619,0.490223841186893,0.315594859787312,0.156777152662642,0
3,0.363301424479534,0.585401193930994,0.618376741489417,0.454024832346771,0.43402245163502,0.274075327054656,0.228243653452593,0.0425543756110148
4,0.641457719067955,0.653561240942955,0.713796314060335,0.371476516255873,0.837206308468736,0.329916781035025,0.362090464727378,0.0904946554417435
5,0.761895614730588,0.715815709630306,0.930737345952576,0.575117324147715,0.790506393784563,0.52498874487824,0.489058566264511,0.211880300611501
6,0.844826690373795,0.836544278604451,0.922430353958742,0.691674235687843,0.886572455565719,0.788114377690539,0.571240210898282,0.45859739722063
7,0.928983336048219,0.881468466657748,1,0.923301483514958,0.954543622637142,0.959527938317389,0.878519477941599,0.473655674882945

Predicted response proportion
"Raw score","WORRIED","HEALTHY","FEWFOOD","SKIPPED","ATELESS","RUNOUT","HUNGRY","WHLDAY"
1,0.15946924901802,0.140345578884852,0.264188698567027,0.0779996973546421,0.196615236209698,0.0860910895440071,0.0569934625127883,0.018296987908966
2,0.323241804866921,0.290950832683341,0.468789263473658,0.173428691901286,0.380923466307483,0.189739644702779,0.129609463560804,0.043316832503728
3,0.482633120622191,0.445022262108141,0.627606928094177,0.288323401572472,0.544337383050208,0.311953199104432,0.221843062630934,0.0782806428174447
4,0.629412164031554,0.5942016571486,0.750542670564704,0.423482202467854,0.683471059052256,0.451893135426753,0.338338793300389,0.12865831800789
5,0.757665875968583,0.730160986070021,0.844928817933753,0.576521164354943,0.797884838619444,0.604968920744781,0.483470893926311,0.204398502382164
6,0.864349944377207,0.847035404729011,0.916312094854626,0.738792901687163,0.888820675058493,0.760654704489103,0.658442609348576,0.32559166545582
7,0.947261272733876,0.940075025532545,0.968165915964944,0.892176437646211,0.957225058477538,0.902310386872315,0.852435615235557,0.540350287537015

Observed and expected respondent infit distribution (weighted)
"Percentile","Obs infit","Pred infit","Obs outfit","Pred outfit"
0,0.467222357064977,0.467222357064977,0.221848315090678,0.221848315090678
1,0.467222357064977,0.467222357064977,0.221848315090678,0.221848315090678
2,0.467222357064977,0.467222357064977,0.221848315090678,0.221848315090678
5,0.467222357064977,0.467222357064977,0.221848315090678,0.221848315090678
10,0.467222357064977,0.467222357064977,0.221848315090678,0.221848315090678
25,0.63772401912556,0.714215282818529,0.535652483859775,0.573143425656048
50,0.963188977636687,0.955838385876749,0.881682746963346,0.881682746963346
75,1.31463297323844,1.31463297323844,1.21549151235481,1.23585459127236
90,1.55401215190642,1.552601759623,2.1342070577545,1.81409594483454
95,1.64585154415755,1.59916953675141,2.41944890659393,2.3530566064365
98,1.82024917941206,1.65853864199163,2.90450440541688,2.97291939512823
99,1.89815232582574,1.75102844478335,2.97291939512822,3.91797849409135
100,1.97470329945382,2.11608635877028,6.85622526317387,6.85622526317387


Rasch log-lik 1086.561
